Gender,Age,Type_of_Travel,Class,Inflight_wifi_service,Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,boarding_process,Seat_comfort,Onboard_service,Leg_room,Baggage_handling,Checkin_service,Cleanliness,Minutes_delay_departing,Minutes_delay_arriving,Next_Flight_Distance
0,63,1,1,5,5,5,2,5,5,5,2,4,3,1,1,3,0,4983
0,13,1,0,5,5,5,1,5,1,5,4,5,5,1,1,3,0,4963
1,21,1,0,5,2,5,4,5,1,5,4,1,4,2,5,20,1,3365
1,42,0,0,5,3,5,3,5,5,5,5,5,5,3,3,0,0,2724
1,17,1,1,2,4,5,4,5,2,2,3,4,5,2,2,0,7,2717
1,15,0,0,1, ,1,4,5,1,5,5,3,5,5,1,0,0,2704
0,40,0,0,4,1,1,1,5,4,4,4,5,2,4,4,0,0,2611
1,25,1,0,5,2,5,3,5,1,2,4,3,3,1,2,0,0,2607
0,43,1,0,4,5,5,1,5,5,5,4,5,5,5,5,0,0,2588
0,17,1,0,5,4,5,1,5,4,4,5,5,5,4,4,0,1,2586
0,13,0,0,2,1,5,2,5,1,4,4,4,1,3,4,5,0,2586
1,52,0,1,2,1,5,2,5,2,5,1,5,1,2,3,0,0,2586
0,67,1,0,5,4,5,3,5,1,5,1,4,4,1,1,32,2,2565
0,32,1,0,4,4,5,3,5,5,5,4,3,5,5,5,0,0,2565
1,64,0,0,4,3,5,3,5,3,4,2, ,2,2,3,0,0,2556
0,53,1,1,2,3,5,3,5,4,4,3,5,3,3,1,0,3,2521
1,55,1,0,5,1,5,2,5,1,5,1,1,2,1,1,0,0,2521
0,33,1,0,3,2,3,4,5,3,3,1,4,4,3,3,65,72,2496
1,40,1,0, ,4,1,4,5,3,4,3,3,3,4,4,0,5,2486
0,49,0,0,2,2,1,4,4,1,3,1,5,4,4,2,0,0,2486
1,19,0,0,2,4,5,3,4,1,5,3,3,4,1,2,19,1,2486
0,50,1,0,1,5,1,3,2,1,4,4,5,4,5,4,0,0,2475
1,53,0,1,2,5,4,1,5,4,5,4,5,5,3,1,0,0,2475
1,35,1,0,2,1,5,3,5,4,4,2,3,4,4,4,0,0,2475
0,26,0,0,2,2,5,4,4,1,5,3,1,3,2,2,0,0,2475
1,66,1,0,5,4,5,5,4,5,5,5,5,5,4,5,0,0,2466
1,49,1,0,2,1,5,4,5,2,4,2,5,2,3,2,9,1,2465
0,47,1,0,4,4,2,2,5,2,3,5,2,4,4,3,0,0,2442
1,13,0,0, ,2,5,3,5,1,5,1,2,1,1,3,0,0,2422
0,61,1,0,5,5,5,4,2,1,4,5,5,3,3,4,2,1,2419
1,41,1,1,5,4,5,4,4,1,5,1,2,3,4,2,0,0,2404
1,23,0,0,4,5,1,4,5,1,5,5,5,4,3,1,0,0,2402
0,20,1,0,4,2, ,3,5,5,5,5,3,3,5,5,0,0,2402
1,64,0,0,4,2,5,3,5,3,3,2,4,4,3,3,0,0,2402
1,34,0,0,5, ,5,4,4,1,2,3,2,5,2,2,0,0,2402
1,50,1,0,2,4,1,3,1,4,5,3,1,3,4,4,0,0,2399
1,38,0,0,3,4,3,3,3,3,3,5,5,5,3,3,185,186,2399
1,33,1,0,2,4,5,3,5,1,5,3,5,4,5,1,0,0,2381
0,39,0,0, ,4, , ,5,1,5,4,2,4,3,2,32,18,2370
1,9,0,0,2,4,4,4,4,1,5,4,5,3,5,2,0,0,2342
1,33,1,0,5,1,1,2,4,1,5,3,5,3,4,2,0,0,2338
1,15,1,0,2,4,5,3,2,1,5,2,3,3,2,4,0,5,2338
1,69,1,0,5,5,5,3,1,4,4,5, ,5,2,3,9,1,2327
1,55,1,0,5,5,5,1,3,5,5,5,5,3,3,3,0,0,2327
0,69,0,0,2, ,5,1,5,1,5,5,2,3,4,1,6,2,2300
1,52,0,0,5,4,5,2, ,3,5,5, ,5,3,5,0,0,2300
0,12,0,0,4,5,5,1, ,1,5,2,4,5,1,1,0,3,2296
0,41,1,0,4,2,5,3,5,1,4,3,5,3,1,4,0,0,2288
1,38,1,0,5,5,5,3,3,1,3,4,5,5,3,3,3,0,2248
1,52,0,0,5,5,1,3,5,5,4,3,1,3,5,3,0,0,2239
1,32,0,0,5,5,5,2,1,5,5,3,5,4,5,5,0,0,2239
1,21,0,0,2,2,2,1,5,2,5,2,4,2,1,1,0,1,2182
0,37,0,0,5,5,5,3,1,1,5,4,2,1,1,5,9,17,2182
1,10,0,1,2,3,5,5,3,1,3,3,3,1,4,3,1,0,2176
1,8,0,1,5,4,5,4,2,1,4,4,1,5,3,4,0,0,2176
1,10,0,1,2,2,2,2,2,2,4,1,1,2,2,4,0,0,2174
1,8,0,0,5,1,5,4,2,1,4,2,1,3,3,4,1,0,2174
1,51,0,0,5,5,5,1,5,3,5,5,5,3,4,3,10,6,2165
1,30,0,0,4,4,5,1,5,1,4,3,5,5,4,4,5,2,2153
1,46,0,0,4,4,5,1,5,5,4,1,5,1,5,3,0,0,2153
1,45,0,0,5,4,5,1,5,5,5,1,5,1,5,4,0,0,2139
0,10,0,1,5,2,5,3,2,1,4,1,4,3,1,4,1,0,2136
0,12,0,1,5,4,3,3,1,3,5,1,1,3,3,5,87,84,2125
1,21,0,0,3,2,5,3,1,2,5,3,1,3,2,5,27,8,1990
0,54,1,0,3,3,5,4,4,1,2,3,3,3,2,2,0,0,1990
1,54,0,0,3,5,3,1,5,3,1,4,2,1,2,1,41,41,1986
1,38,0,0,2,4,5,5,3,1,3,2,5,4,4,3,14,28,1979
1,51,0,0,4,4,5,3,1,3,3,4,5,4,1,2,8,1,1979
0,62,0,0,4,5,5,4,4,1,2,5,5,5,3,2,5,4,1947
0,12,0,0,4,4,5,5,5,1,1,5,3,5,4,1,25,18,1947
1,10,0,0,5,4,5,3,3,1,4,2,1,4,2,3,7,2,1892
0,64,1,0,5,5,5,2,2,5,4,1,3,2,3,4,0,0,1874
1,25,1,0,5,5,5,4,5,1,2,2,4,5,3,2,0,0,1874
1,24,1,0,5,5,2,3,5,2,1,4,3,5,3,1,0,0,1846
0,37,1,0,2,4,5,3,3,1,2,4,4,5,2,3,8,1,1846
1,61,0,0,5,3,5,4,5,3,3,4,5,3,2,3,0,0,1846
1,65,0,0,4,4,5,2,5,4,1,2,5,2,5,2,0,0,1846
1,33,0,0,4,5,5,4,5,1,2,3,5,4,4,2,1,4,1844
1,54,0,0,5,3,5,4,1,4,1,5,5,5,5,3,64,50,1844
1,51,0,1,5,4,5,5,5,5,5,5,5,2,4,3,4,0,1838
0,54,0,0,5,2,5,3,2,1,4,1,5,3,4,4,0,0,1810
1,35,0,0,5,4,5,3,5,5,2,4,5,4,4,2,9,1,1797
1,37,0,0,5,1,1,4,4,1,2,2,5,3,3,2,5,4,1773
0,62,0,0,2,1,5,3,1,1,5,4,1,2,2,5,34,19,1773
1,28,0,0,5,1,5,2,5,1,3,2,5,2,3,3,0,0,1771
1,40,0,0,4,1,5,4,5,1,1,3,1,4,2,1,0,0,1754
1,34,1,0,4,4,5,4,5,1,2,3,1,4,3,2,0,0,1754
1,59,0,0,4,5,4,3,5,4,2,1,5,2,3,2,5,2,1749
1,21,0,0,4,1,5,3,5,1,2,2,2,2,2,2,4,0,1747
0,51,0,0,2, ,1,4,5,1,1,5,3,5,4,1,20,22,1746
1,9,0,0,5,1,5,2,5,1,5,1,1,1,3,3,0,0,1746
1,42,1,1,5,3,5,3,1,3,4,4,5,4,3,3,10,0,1744
0,27,0,0,5,5,5,2,5,1,4,3,3,5,4,4,0,0,1744
1,28,1,0,5,4,5,3,5,1,4,5,5,3,4,1,0,0,1739
1,9,1,0,5,5,1,3,1,1,5,3,2,4,4,5,7,1,1737
1,50,1,0,2,5,2,2,3,2,3,2,5,2,4,3,0,0,1726
1,33,0,0,5,1,5,4,5,1,1,4,4,4,2,1,0,0,1723
0,61,1,0,5,3,5,2,5,5,4,4,4,1,4,4,0,0,1721
1,53,0,0,5,4,5,4,2,5,5,3,5,5,5,5,84,86,1721
0,25,0, ,5,5,5,4,4,5,2,2,3,4,1,2,29,27,1694
1,22,0,0,5, ,5,3,5,1,3,2,3,1,3,3,12,5,1671
0,27,1,0,5,4,5,2,1,1,5,1,2,3,3,5,14,8,1635
1,64,1,0,5,5,5,3,2,5,4,2,5,2,3,3,0,0,1635
1,62,0,0,5,5,5,3,5,3,4,1,5,5,3,4,0,0,1626
0,68,1,0,2,5, ,1,1,1,5,5,5,5,4,5,0,0,1620
1,48,0,0,5,4,5,4,5,3,4,2,5,2,4,3,0,0,1619
1,20,1,0,5,1,4,3,4,1,2,2,3,3,4,2,0,0,1617
1,29,1,0,5,5,4,1,5,1,4,5,3,4,4,4,11,5,1609
0,51,0,0,5,5,4,2, ,1,1,3,2,3,3,3,1,1,1598
1,51,0,0,5, ,5,3,5,4,5,5,5,5,4,4,0,3,1598
1,30,0,0,5,5,4,3,3,1,3,4,3,4,3,3,16,1,1598
1,26,0,0,2,5,4,3,5,1,4,1,4,4,2,4,0,0,1598
0,61,0,0,5,5,5,2,2,1,4,3,3,4,4,4,0,0,1598
0,28,1,0,5,5,2,1,5,2,1,4,4,4,3,1,0,0,1597
0,30,1,0, ,5,5,4,5,1,1,4,1,2,2,1,0,0,1597
0,24,0,0,5,5,5,1,5,1,3,4,2,5,5,3,93,86,1592
1,46,0,0,5,2,5,3,3,3,3,4,5,4,4,1,5,0,1587
1,62,0,0,5,4,5,3,4,3,4,3,5,2,1,4,0,0,1576
1,13,0,0,4,5,1,2,2,1,4,5,2,3,4,4,0,0,1562
1,70, ,0,4,1,2,2,2,2,4,2,2,1,3,4,0,0,1562
0,12,0,0,2,4,5,1,4,1,2,1,4,5,3,2,12,0,1562
1,26,0,0,4,4,2,2,5,2,2,3,5,5,3,3,15,1,1547
1,57,0,0,4,4,5,1,3,4,4,1,5,1,4,3,3,3,1547
0,23,0,0,4,4,5,3,2,1,4,3,3,4,5,4,0,0,1547
0,36,1,1,4,2,5,4,4,1,2,2,2,2,4,2,0,0,1533
0,35,0,1,4,5,4,2,3,4,3,4,2,3,5,3,0,0,1532
1,13,0,0,2, ,1,3,5,1,2,4,5,4,5,2,0,0,1521
1,20,0,0,5,1,5,3,2,1,3,1,2,3,1,4,0,0,1521
1,64,0,0,5,5,5,4,5,1,2,1,5,1,1,4,0,0,1521
1,20,0,0,5,5,2,1,1,2,5,5,3,4,3,5,0,0,1504
0,18,1,0,5,4,5,1,5,1,3,3,2,5,3,3,0,0,1504
1,36,0,0,2,4,5,3,2,1,4,5,4,5,5,4,0,0,1501
0,41,0,1,5,4,5,2,3,4,3,5,4,1,5,3,0,2,1500
0,23,1,0,5,4,5,2,4,1,2,4,5,5,3,2,6,2,1499
0,19,0,0,5,5,3,1,5,3,2,3,4,5,4,1,27,2,1491
1,55,0,0,5,5,5,3,3,4,5,2,5,2,4,3,0,0,1481
1,70,1,0,5,5,4,2,1,4,2,3,3,3,3,5,15,11,1464
1,28,0,0,2,4,1,1,5,1,3,3,2,3,5,1,14,12,1460
0,12,1,0,5,3,5,1,5,1,3,3,2,4,2,3,14,1,1452
1,48,1,0,5,1,5,3,3,3,2,2,1,2,4,2,0,2,1448
0,55,1,0,4,3,5,4,3,1,3,3,5,3,2,3,0,0,1448
0,43,1,0,4,4,5,3,5,1,3,3,3,1,3,3,0,0,1448
1,43,0,0,4, ,5,2,1,5,3,3,5,3,5,4,13,2,1444
0,27,1,0,4,5,5,4,2,1,4,3,4,5,4,4,3,0,1440
1,48,0,0,4,5,5,3,3,4,4,4,5,2,5,3,8,1,1438
1,70,0,0,4,4,5,3,3,5,4,1,5,1,4,5,11,0,1438
0,47,0,1,4,4,5,3,5,5,4,1,5,1,4,3,0,0,1437
0,16,0,0,1,5,5,1,5,1,1,5,2,4,4,1,0,0,1431
0,20,1,0,4,2,4,4,3,4,3,1,2,3,3,3,0,0,1416
1,27,1,0,1,2,5,3,5,1,1,1,1,2,3,1,0,0,1416
0,19,1,0,4,3,5,3,2,1,4,2,2,4,3,4,0,0,1416
1,44,0,0,1,5,5,2,3,5,5,2,5,2,2,5,0,0,1411
1,59,1,0,4,5,2,3,1,2,1,5,2,4,4,5,31,2,1400
0,44,1,0,5,3,5,2,5,1,1,5,5,1,2,1,7,2,1400
1,10,1,0,5,1,5,3,5,1,4,4,3,3,1,4,0,0,1400
1,27,0,0,5,3,5,2,2,1,4,1,2,2,4,4,0,2,1399
1,27,1,1,5,5,5,4,1,1,5,5,2,4,4,5,1,0,1399
1,48,0,0,5,4,5,4,4,2,2,3,5,3,4,1,0,0,1389
0,49,1,0,1,4,4,3,2,4,4,3,4,3,3,4,2,1,1379
1,34,1,0,5,4,5,3,5,1,3,5,5,3,4,4,17,1,1379
1,7,0,0,4,4,5,4,5,1,1,3,2,5,3,1,0,0,1372
0,8,0,0,4,1,5,4,3,1,3,3,5,2,4,3,0,0,1355
0,67,0,0,4,2,5,3,4,1,2,4,3,3,3,2,0,0,1355
0,58,1,0,4,2,5,3,4,1,2,1,3,2,3,2,10,0,1346
0,55,0,0,4,4,1,4,2,1,3,1,2,4,2,4,0,0,1340
0,49,0,0,4,2,5,4,4,1,3,4,1,4,3,2,0,15,1337
1,69,1,0,1,4,5,3,2,5,3,5,4,4,3,4,4,0,1334
0,22,1,0,4,5,4,5,1,1,5,5,2,4,5,5,0,0,1334
1,11,1,0,4,5,5,2,4,5,2,3,5,3,5,2,5,2,1325
1,35,0,0,4,5,4,1,2,1,4,5,4,4,5,4,0,19,1315
0,31,0,0,4,4,4,2,1,4,3,4,5,4,4,5,0,0,1315
1,52,0,0,4,5,1,1,4,1,2,5,5,4,4,2,0,19,1306
0,64,1,0,4,5,1,1,2,1,4,3,4,4,5,4,2,0,1303
1,61,0,0,4,4,3,3,2,3,4,3,4,4,3,4,89,88,1303
1,54,1,0,4,5,4,1,2,4,3,2, ,4,3,3,25,41,1303
0,57,0,0,4,1,4,3,2,1,4,2,4,2,4,4,0,0,1303
1,53,0,1,4,5,4,4,1,5,4,3, ,3,4,5,0,14,1299
1,13,0,0,1,3,4,3,1,4,5,5,2,3,1,5,39,26,1276
0,39,0,0,5,5,5,1,2,1,4,5,2,5,4,4,68,63,1276
1,9,0,0,5,2,5,3,3,1,3,1,1,2,3,3,0,0,1276
0,24,0,0,5,4,5,1,2,1,4,4,4,3,5,4,8,1,1262
0,62,0,0,5,4,5,5,2,1,4,3,4,5,5,4,0,0,1258
1,9,0,0,1,4,4,1,1,1,5,4,3,4,4,5,23,2,1246
1,69,1,1,5,5,1,5,3,3,5,4,1,4,3,3,13,23,1242
1,16,0,0,5,5,4,2,2,4,1,4,2,5,5,4,0,0,1242
1,50,1,0,5,4,1,1,3,3,5,4,1,4,3,3,0,0,1237
1,34,1,0,5,5,1,4,3,1,3,5,4,5,4,3,0,0,1237
1,15,0,0,5,3,3,4,1,3,5,1,4,3,1,5,0,0,1235
0,15,0,0,5,5,4,5,4,1,2,4,5,4,3,2,4,1,1235
0,68,0,0,5,5,5,3,4,1,2,3,1,5,5,2,1,1,1235
0,66,0,0,5,5,5,4,2,1,4,5,5,3,4,4,0,0,1235
0,25,1,0,5,1,5,3,4,1,2,3,5,2,1,2,0,0,1222
1,61,0,0,1,4,4,1,1,5,5,4, ,4,4,4,0,0,1217
0,45,1,1,5,2,4,3,2,3,3,1, ,1,4,1,20,15,1216
1,44,0,0,5,4,5,3,3,4,5,2, ,2,4,4,0,0,1211
0,9,0,0,5,4,2,2,4,2,2,5,2,4,3,2,0,0,1199
0,41,1,0,5,4,3,2,1,1,5,2,1,4,5,5,14,3,1199
1,31,0,0,5,1,4,3,4,1,3,1,4,2,1,2,13,0,1199
0,49,1,0,1,2,2,2,4,1,2,2,4,3,4,2,0,0,1199
1,45,0,0,5,4,4,3,1,3,3,2, ,2,5,5,0,0,1199
0,67,1,0,5,4,5,4,1,1,5,1,3,5,3,5,0,0,1197
0,29,1,1,5,4,1,2,4,1,1,4,2,3,3,2,15,3,1195
1,60,1,1,5,4,1,2,4,1,2,5,2,4,5,2,28,54,1195
0,63,1,1,5,5, ,4,3,1,3,4,2,3,1,3,0,0,1195
0,10,0,0,5,5, ,2,5,1,5,3,4,5,3,1,7,1,1189
1,16,0,1,5,5, ,3,1,1,5,4,3,5,5,5,0,0,1189
1,10,0,0,1,1, ,2,5,1,1,3,5,1,4,1,0,0,1188
1,34,0,0,5,5,1,3,2,1,4,4,5,3,4,4,0,0,1184
1,25,0,0,4,1, ,2,4,1,4,4,1,3,1,2,0,0,1183
0,59,0,1,4,5, ,2,4,3,4,1, ,4,3,3,0,0,1182
0,41,0,0,4,4, ,1,4,1,2,4,2,3,5,2,24,27,1171
0,28,0,0,4,3, ,3,5,1,4,2,1,3,3,1,7,2,1166
0,13,0,0,4,4, ,2,1,1,5,3,4,4,3,5,0,0,1165
1,41,0,0,5,4, ,2,2,1,4,4,2,5,5,4,4,7,1158
1,22,0,0,5,1, ,3,3,1,3,2,1,2,2,3,0,0,1147
1,33,1,0,5,5, ,5,1,1,5,5,2,5,5,5,0,0,1147
0,48,0,0,5,5, ,3,2,1,4,5,4,4,4,4,0,0,1145
1,49,1,0,1,2, ,4,5,2,4,3,2,3,2,2,12,0,1144
0,50,0,0,5,4, ,3,3,1,3,2,4,2,1,3,0,0,1142
1,33,0,0,5,3, ,4,3,1,3,1,5,3,2,3,31,24,1136
0,8,0,0,5,5, ,3,4,1,2,3,2,4,3,2,4,2,1129
0,57,0,1,5,2, ,3,1,4,4,2, ,3,2,3,0,0,1126
0,8,0,0,5,4, ,2,2,1,3,3,2,4,5,4,0,0,1124
1,18,0,0,5,2,1,4,5,1,1,2,2,2,2,1,13,4,1121
1,61,0,0,5,5,2,4,1,2,5,4,4,3,3,5,2,0,1121
0,65,1,1,5,4,3,3,1,3,5,4,5,4,4,5,24,9,1121
0,44,0,0,5,4, ,3,3,1,3,4,3,4,5,3,1,0,1121
0,33,0,0,5,4, ,2,2,1,5,5,3,3,4,4,2,1,1121
0,50,0,0,5,5, ,1,4,1,2,3,3,1,3,2,1,0,1120
1,9,0,0,4,3, ,2,2,1,4,2,1,3,1,4,0,0,1119
0,62,1,0,1,5, ,5,1,1,5,4,5,5,5,5,0,0,1117
0,25,1,0,2,5, ,1,4,1,2,5,4,5,3,2,0,0,1107
1,46,0,0,4,4, ,3,4,4,4,1, ,1,1,4,0,3,1105
1,63,0,0,4,2, ,3,3,3,3,4, ,4,1,1,0,0,1096
0,18,1,0,3,5,2,5,4,2,2,2,3,2,5,2,0,0,1092
0,34,1,0,4,3, ,4,5,1,2,2,5,3,1,1,0,2,1091
1,51,1,0,3,4, ,4,1,4,4,2, ,2,2,1,35,36,1091
1,18,0,0,3,4, ,3,5,1,1,2,1,4,5,1,0,0,1086
0,65,0,0,4,4,2,1,2,2,4,3,3,4,4,4,8,19,1076
0,20,1,0,4,5,3,3,5,3,1,3,4,4,4,1,0,0,1075
1,60,0,0,3,4, ,1,3,4,4,2, ,2,5,3,0,1,1075
0,66,0,0,4,5, ,4,1,1,5,4,5,4,2,5,5,5,1075
0,53,1,1,4,1, ,2,5,3,3,1, ,1,3,1,0,0,1075
0,39,1,0,3,5, ,4,1,1,5,3,3,5,1,5,0,0,1069
1,16,0,0,4,5, ,2,4,1,2,5,2,5,5,2,0,0,1069
1,30,1,1,3,5,1,4,5,1,1,3,2,5,5,1,61,52,1065
1,61,1,0,4,4,3,5,4,3,2,5,3,4,3,2,35,12,1065
0,42,0,0,4,5, ,3,3,1,3,4,2,5,3,3,3,0,1062
0,62,0,0,4,5, ,3,1,1,5,4,4,5,5,5,0,0,1061
1,21,1,0,4,4, ,2,1,1,5,2,1,3,3,5,0,0,1056
0,14,0,0,1,3,4,4,3,4,3,1,5,3,4,3,0,0,1055
0,45,0,0,4,5,3,2,4,3,2,4,4,4,5,2,16,4,1052
1,56,0,0,4,4,3,4,4,3,2,3,3,4,4,2,42,27,1047
1,61,0,0,1,3, ,3,4,3,2,4, ,4,4,5,0,3,1045
0,20,1,0,4,4,2,1,4,2,2,5,3,5,5,2,5,8,1042
1,18,0,0,4,2,1,3,3,1,3,2,1,4,2,3,18,4,1041
1,17,1,1,1,1, ,3,5,4,4,1,3,4,4,4,427,440,1041
1,61,1,0,4,4, ,3,2,4,4,4, ,4,5,3,0,0,1041
1,34,0,0,5,5, ,2,3,1,3,5,4,4,4,3,0,0,1027
1,48,0,0,5,2, ,4,1,4,4,2, ,2,3,1,14,7,1024
1,34,0,0,5,4, ,3,2,1,4,4,3,1,2,4,4,0,1020
0,25,0,0,5,3,4,4,4,4,2,3,1,4,3,2,0,0,1017
0,69,1,0,5,4,2,4,3,2,3,2,5,4,3,3,0,0,1014
0,40,0,0,4,2,1,4,5,1,1,1,4,4,4,1,0,0,1013
0,32,0,0,5,3,3,3,2,3,4,3,1,4,1,4,0,0,1013
1,16,1,0,1,2, ,3,3,1,3,1,3,3,4,3,0,0,1013
1,23,0,0,3,5, ,3,5,1,1,3,4,5,4,1,21,2,1010
0,10,0,0,3,2, ,3,2,1,4,1,3,4,2,4,0,0,1009
0,33,1,0,3,4, ,2,4,1,2,3,2,5,4,2,0,0,1009
1,70,1,1,3,5, ,1,2,4,4,2, ,3,5,4,0,0,1009
0,25,0,0,3,5, ,4,1,1,5,5,3,5,3,5,0,0,1009
0,51,1,0,3,4,1,3,1,1,4,4,3,5,3,5,7,9,1005
0,42,1,1,3,4,1,1,2,5,4,1,1,1,5,5,72,61,1005
1,29,1,0,3,5,4,3,2,4,4,5,3,4,3,4,2,0,1005
1,57,1,0,3,4, ,3,1,4,5,5, ,5,4,3,0,6,1005
1,35,1,0,3,4, ,2,3,1,1,3,2,5,3,3,80,75,1005
0,68,0,0,3,4,1,2,1,1,5,4,2,5,4,5,0,0,991
1,20,1,1,3,5,3,2,3,3,3,3,3,5,3,3,8,37,991
0,70,0,0,3,4, ,5,4,1,2,3,2,4,4,2,0,0,991
0,15,0,0,3,4, ,1,5,1,1,5,5,4,5,1,0,16,989
0,58,1,0,3,5, ,3,2,1,4,4,5,4,3,4,0,0,989
1,17,1,0,3,2, ,4,3,1,3,4,3,3,2,3,0,0,986
1,49,0,0,4,4, ,4,4,3,4,5, ,1,1,1,0,0,986
0,41,1,1,2,4,1,3,2,3,4,3,1,3,1,3,0,0,985
1,21,1,0,2,5, ,4,2,1,4,4,5,4,5,4,0,0,979
1,51,0,0,3,5,3,2,1,3,5,5,2,5,3,5,2,20,978
1,8,0,0,2,4, ,2,2,1,1,4,2,4,3,4,12,0,978
1,65,0,0,2,4, ,3,1,5,4,1, ,1,3,3,0,0,978
0,17,0,0,1,4,1,2,4,1,2,5,3,4,4,2,0,0,972
1,20,0,0,2,4, ,2,5,1,1,3,5,4,5,1,17,17,972
1,16,0,0,2,5, ,3,2,1,4,3,3,4,5,4,127,118,971
0,33,0,0,2,1, ,3,5,1,4,4,5,4,3,1,15,1,971
0,14,1,0,2,5,1,1,3,1,3,3,5,5,3,3,4,0,967
1,37,1,0,2,5, ,4,4,1,2,5,4,4,5,2,7,1,967
0,53,1,0,2,5, ,1,3,1,3,5,4,4,3,3,0,0,967
0,23,0,0,2,5, ,2,5,1,1,3,4,5,5,1,13,0,966
1,13,0,1,2,5, ,3,5,1,1,3,2,4,4,1,0,0,964
0,26,0,0,2,3,1,3,5,1,1,2,2,3,1,1,0,0,957
1,50,1,0,2,4, ,1,4,5,5,2, ,2,5,3,0,1,954
1,10,0,0,2,2, ,4,3,1,3,1,3,4,4,3,0,0,950
0,62,0,0,2, , ,4,1,1,5,1,3,2,2,5,0,0,950
0,61,0,0, , , ,1,4,1,2,4,4,5,4,2,1,1,948
0,32,1,0,2,1, ,3,5,1,1,2,2,1,1,1,0,0,948
0,39,0,0,2,2, ,2,1,2,5,1,1,3,3,5,0,0,946
1,39,1,0,2,3, ,1,4,1,1,5,2,1,2,2,0,0,946
1,23,1,0,2,4, ,3,4,1,2,4,1,3,5,2,0,0,946
0,17,0,0,2,5, ,3,4,1,2,3,2,4,2,2,0,0,946
1,56,1,1,2,3,1,3,5,1,1,1,1,5,5,2,0,0,944
1,55,1,0,2,2, ,4,4,4,3,3, ,3,1,3,68,80,944
1,51,1,0,2,3, ,4,5,3,2,3, ,3,2,2,0,0,944
1,32,0,0,3,5,3,3,4,3,2,4,3,4,3,2,27,26,937
0,25,0,0,3,5,3,3,1,3,5,3,5,4,3,5,0,0,937
1,14,1,0,2,4, ,4,3,1,3,5,4,5,5,3,11,4,937
1,13,1,0,2,5, ,1,5,1,1,5,3,5,5,1,0,4,937
0,51,1,0,2,3, ,2,3,1,3,3,3,2,2,3,29,13,937
0,48,1,0,2,2, ,4,5,1,1,3,1,3,3,1,0,0,937
1,26,0,0,2,2,3,3,4,3,3,4,2,3,1,2,0,0,936
0,23,1,1,2,3, ,3,1,1,5,3,3,4,4,5,0,14,936
1,62,0,0,2,3, ,3,5,2,1,3, ,3,4,3,0,0,936
1,56,1,0,2,4, ,4,1,4,4,2, ,2,3,1,0,0,936
0,60,0,0,2,5, ,3,2,1,3,4,5,5,4,4,0,0,931
1,43,0,0,4,5,5,1,1,5,5,4,3,4,5,5,0,3,929
0,54,1,0,3,4,3,3,3,3,3,5,5,5,5,3,54,51,925
